"serogroup","X10_116_S10counts","X11_117_S11counts","X12_118_S12counts","X13_119_S13counts","X14_120_S14counts","X15_131_S15counts","X16_132_S16counts","X17_133_S17counts","X18_134_S18counts","X19_135_S19counts","X1_92_S1counts","X20_136_S20counts","X21_137_S21counts","X22_138_S22counts","X23_139_S23counts","X24_ctrl_S24counts","X25_92_S25counts","X26_94_S26counts","X27_96_S27counts","X28_97_S28counts","X2_94_S2counts","X29_98_S29counts","X30_99_S30counts","X31_100_S31counts","X32_111_S32counts","X33_112_S33counts","X34_116_S34counts","X35_117_S35counts","X36_118_S36counts","X37_119_S37counts","X38_120_S38counts","X39_131_S39counts","X3_96_S3counts","X40_132_S40counts","X41_133_S41counts","X42_134_S42counts","X43_135_S43counts","X44_136_S44counts","X45_137_S45counts","X46_138_S46counts","X47_139_S47counts","X48_ctrl_S48counts","X4_97_S4counts","X49_92_S49counts","X50_94_S50counts","X51_96_S51counts","X52_97_S52counts","X53_98_S53counts","X54_99_S54counts","X55_100_S55counts","X56_111_S56counts","X57_112_S57counts","X58_116_S58counts","X59_117_S59counts","X5_98_S5counts","X60_118_S60counts","X61_119_S61counts","X62_120_S62counts","X63_131_S63counts","X64_132_S64counts","X65_133_S65counts","X66_134_S66counts","X67_135_S67counts","X68_136_S68counts","X69_137_S69counts","X6_99_S6counts","X70_138_S70counts","X7_100_S7counts","X71_139_S71counts","X72_ctrl_S72counts","X73_92_S73counts","X74_94_S74counts","X75_96_S75counts","X76_97_S76counts","X77_98_S77counts","X78_99_S78counts","X79_100_S79counts","X80_111_S80counts","X81_112_S81counts","X8_111_S8counts","X82_116_S82counts","X83_117_S83counts","X84_118_S84counts","X85_119_S85counts","X86_120_S86counts","X87_131_S87counts","X88_132_S88counts","X89_133_S89counts","X90_134_S90counts","X9_112_S9counts","X91_135_S91counts","X92_136_S92counts","X93_137_S93counts","X94_138_S94counts","X95_139_S95counts","X96_ctrl_S96counts"
"O140",0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"O145B",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,281,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,534,1,0,0,0,2,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"O146B",0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"O149B",0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,165,0,0,0,0,0,3,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,156,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,221,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"O15",0,3,0,0,0,0,2,9,1,2,3,5,16,2,1,0,16,0,0,0,0,1,0,0,0,1,1,4,0,0,0,0,0,0,14,1,0,10,11,7,1,0,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,0,4,0,0,4,6,0,10,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
"O153A",235,107,422,0,77,929,2,474,744,0,22,0,10,1,0,1,17,920,16,271,449,2076,3,1619,324,48,216,75,452,0,163,1113,22,5,504,989,0,1,3,6,3,2,375,44,105,2,133,998,1,937,170,44,192,115,1860,1696,0,24,725,18,105,1364,0,0,98,4,2,1508,0,0,30,8,0,0,54,0,8,51,28,256,147,10,166,0,0,30,9,25,36,50,0,0,7,1,1,0
"O153C",0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27,1,0,0,0,0,0,0
"O156C",0,0,2,0,0,1,0,0,4,0,0,0,5,1,3,0,0,0,0,1,0,0,0,0,5,2,0,0,10,0,0,1,0,0,0,3,2,0,2,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
"O157D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,358,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1860
"O159",0,0,0,0,0,0,0,1,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,40,0,0
